한국어 단어,English Word,汉语单词,汉语拼音
가격,price,价格,jiàgé
검정색,black,黑色,hēisè
남색,"navy blue, indigo",藏青色,zàngqīngsè
노란색,yellow,黄色,huángsè
담배,cigarette,香烟,xiāngyān
문제,problem,问题,wèntí
빨간색,red,红色,hóngsè
(신용) 카드,credit card,信用卡,xìnyòngkǎ
와이셔츠,dress shirt,衬衫,chènshān
인기,popularity,人气,rénqì
점퍼,jumper, jacket,外套,wàitào
초록색,green,绿色,lǜsè
티셔츠,T-shirt,T恤,T xù
파란색,blue,蓝色,lánsè
하늘색,sky blue,天蓝色,tiānlánsè
흰색,white,白色,báisè
뛰다,to run,跑步,pǎobù
맞다,to fit,合适,héshì
모자라다,to lack,缺乏,quēfá
바꾸다,to change,改变,gǎibiàn
어울리다,"to match, suit",适合,shìhé
피우다,to smoke,吸烟,xīyān
밝다,to be bright,明亮,míngliàng
어둡다,to be dark,黑暗,hēi'àn
말고,not ... but ...,而不是,ér búshì
천천히,slowly,慢慢地,mànmàn de
(으)로,item selected from among many,从中选择,cóng zhōng xuǎnzé
그러면,"then, in that case",那么,nàme
~(으)ㄴ/는/(으)ㄹ 것 같다,it seems like,好像,hǎoxiàng
~어/아도 되다,expresses permission,可以,kěyǐ
